Expected_Speed,Variant,SPZ,Antena,First_time,Last_time,Seen,Pass_Number,RSSI_AVG
20,C,Back1,9,1737985694675,1737985694912,7,1,-70.25
20,C,Back2,9,1737985694746,1737985694777,2,1,-72.00
20,C,Front1,9,1737985777242,1737985777998,14,2,-66.80
20,C,Front3,9,1737985777370,1737985778088,14,2,-64.02
20,C,Front2,9,1737985777371,1737985778013,13,2,-65.40
20,C,Side1,9,1737985778481,1737985778725,7,2,-70.75
20,C,Side2,9,1737985778551,1737985778755,6,2,-69.08
20,C,Side3,9,1737985778555,1737985778797,7,2,-70.97
20,C,Back1,9,1737985779153,1737985779313,6,2,-70.58
20,C,Back2,9,1737985779211,1737985779334,4,2,-72.62
20,C,Front1,9,1737985845727,1737985846502,16,3,-66.49
20,C,Front3,9,1737985845853,1737985846574,16,3,-63.28
20,C,Front2,9,1737985845985,1737985846512,12,3,-64.75
20,C,Side3,9,1737985847014,1737985847207,6,3,-70.25
20,C,Side1,9,1737985847015,1737985847120,4,3,-69.78
20,C,Side2,9,1737985847016,1737985847122,4,3,-67.50
20,C,Back1,9,1737985847526,1737985847703,6,3,-70.29
20,C,Back2,9,1737985847597,1737985847724,4,3,-72.40
20,C,Front1,9,1737985907937,1737985908677,16,4,-66.16
20,C,Front3,9,1737985908067,1737985908760,16,4,-63.57
20,C,Front2,9,1737985908199,1737985908741,12,4,-64.23
20,C,Side1,9,1737985909152,1737985909336,6,4,-70.05
20,C,Side2,9,1737985909154,1737985909335,6,4,-67.25
20,C,Side3,9,1737985909231,1737985909410,6,4,-69.75
20,C,Back1,9,1737985909712,1737985909955,7,4,-70.00
20,C,Back2,9,1737985909786,1737985909914,4,4,-72.75
30,C,Front3,9,1737985974314,1737985974855,11,5,-64.68
30,C,Front1,9,1737985974338,1737985974768,7,5,-66.53
30,C,Front2,9,1737985974459,1737985974791,7,5,-65.04
30,C,Side1,9,1737985975130,1737985975272,3,5,-71.00
30,C,Side3,9,1737985975202,1737985975275,3,5,-71.28
30,C,Side2,9,1737985975278,1737985975278,1,5,-67.88
30,C,Back1,9,1737985975584,1737985975693,4,5,-71.89
30,C,Back2,9,1737985975672,1737985975672,1,5,-74.50
30,C,Front2,9,1737986036757,1737986037079,8,6,-67.86
30,C,Front3,9,1737986036885,1737986037260,11,6,-66.68
30,C,Side1,9,1737986037687,1737986037687,1,6,-72.00
30,C,Side3,9,1737986037761,1737986037761,1,6,-74.00
30,C,Back1,9,1737986038146,1737986038196,2,6,-73.75
30,C,Front1,9,1737986094971,1737986095416,10,6,-67.25
30,C,Front3,9,1737986095097,1737986095459,9,7,-64.62
30,C,Front2,9,1737986095098,1737986095413,8,7,-65.60
30,C,Side1,9,1737986095787,1737986095935,3,7,-71.42
30,C,Side3,9,1737986095861,1737986095958,4,7,-71.70
30,C,Side2,9,1737986095934,1737986095934,1,6,-68.80
30,C,Back1,9,1737986096230,1737986096327,4,7,-71.06
30,C,Back2,9,1737986096299,1737986096299,1,6,-72.50
30,C,Front2,9,1737986153027,1737986153345,7,8,-66.56
30,C,Front3,9,1737986153156,1737986153479,9,8,-64.92
30,C,Front1,9,1737986153191,1737986153191,1,7,-66.50
30,C,Back1,9,1737986154312,1737986154356,2,8,-74.00
50,C,Front2,9,1737986204994,1737986205151,4,9,-66.25
50,C,Front3,9,1737986205122,1737986205266,5,9,-64.94
50,C,Front3,9,1737986256867,1737986257162,8,10,-65.25
50,C,Front2,9,1737986256984,1737986257063,3,10,-65.23
50,C,Back1,9,1737986257633,1737986257664,2,9,-72.00
50,C,Front2,9,1737986318612,1737986318780,4,11,-66.73
50,C,Front3,9,1737986318641,1737986318851,6,11,-66.11
50,C,Back1,9,1737986319379,1737986319407,2,10,-73.75
50,C,Front3,9,1737986369851,1737986370154,7,12,-65.44
50,C,Front2,9,1737986369866,1737986370081,4,12,-67.18
50,C,Front1,9,1737986370004,1737986370034,2,8,-66.87
50,C,Side3,9,1737986370388,1737986370388,1,8,-72.20
50,C,Back1,9,1737986370618,1737986370710,3,11,-73.50
60,C,Front2,9,1737986421568,1737986421696,3,13,-65.77
60,C,Front3,9,1737986421572,1737986421769,5,13,-65.10
60,C,Back1,9,1737986422154,1737986422183,2,12,-72.50
60,C,Front2,9,1737986485670,1737986485811,3,14,-65.10
60,C,Front3,9,1737986485685,1737986485905,6,14,-65.27
60,C,Back1,9,1737986486278,1737986486304,2,13,-71.88
60,C,Front2,9,1737986542446,1737986542476,2,15,-66.19
60,C,Front3,9,1737986542450,1737986542551,4,15,-65.79
60,C,Back1,9,1737986542958,1737986542981,2,14,-73.83
60,C,Front3,9,1737986599303,1737986599503,5,16,-65.16
60,C,Front2,9,1737986599306,1737986599435,3,16,-64.68
60,C,Back1,9,1737986599905,1737986599929,2,15,-72.50
90,C,Front2,9,1737986664167,1737986664200,2,17,-67.00
90,C,Front3,9,1737986664173,1737986664275,4,17,-65.15
90,C,Back1,9,1737986664577,1737986664615,2,16,-72.75
50,C,Front1,9,1737987023518,1737987023806,7,9,-66.62
50,C,Front2,9,1737987023653,1737987023826,5,18,-64.38
50,C,Front3,9,1737987023655,1737987023847,6,18,-63.35
50,C,Side1,9,1737987024026,1737987024101,3,8,-68.80
50,C,Side2,9,1737987024098,1737987024098,1,7,-65.67
50,C,Side3,9,1737987024100,1737987024130,2,9,-69.10
50,C,Back1,9,1737987024292,1737987024362,3,17,-70.86
50,C,Front3,9,1737987227787,1737987227811,2,19,-69.75
20,B,Front3,9,1737987470245,1737987471270,14,20,-72.25
20,B,Front2,9,1737987470404,1737987470979,10,19,-70.65
20,B,Front1,9,1737987470667,1737987470975,6,10,-68.33
20,B,Side1,9,1737987471575,1737987471673,4,9,-69.38
20,B,Side2,9,1737987471638,1737987471814,3,8,-66.67
20,B,Side3,9,1737987471643,1737987471903,5,10,-69.90
20,B,Back2,9,1737987472093,1737987472834,19,7,-68.52
20,B,Back1,9,1737987472094,1737987473029,24,18,-67.86
20,B,Back3,9,1737987472312,1737987472708,11,1,-72.14
20,B,Front1,9,1737987554981,1737987555996,16,11,-69.73
20,B,Front2,9,1737987555154,1737987556131,14,20,-70.46
20,B,Front3,9,1737987555277,1737987556329,18,21,-67.78
20,B,Side1,9,1737987556549,1737987556808,8,10,-65.86
20,B,Side2,9,1737987556552,1737987556809,8,9,-62.80
20,B,Side3,9,1737987556627,1737987556882,8,11,-66.58
20,B,Back2,9,1737987557034,1737987557981,26,8,-66.30
20,B,Back1,9,1737987557036,1737987558138,30,19,-65.78
20,B,Back3,9,1737987557109,1737987557968,23,2,-68.78
20,B,Front1,9,1737987611988,1737987613158,18,12,-69.96
20,B,Front3,9,1737987612166,1737987613460,19,22,-67.74
20,B,Front2,9,1737987612423,1737987613257,13,21,-70.09
20,B,Side1,9,1737987613672,1737987613928,8,11,-64.78
20,B,Side2,9,1737987613748,1737987614006,8,10,-63.30
20,B,Side3,9,1737987613749,1737987614052,9,12,-65.77
20,B,Back2,9,1737987614191,1737987615163,26,9,-66.66
20,B,Back1,9,1737987614196,1737987615354,30,20,-66.84
20,B,Back3,9,1737987614343,1737987615242,23,3,-69.15
20,B,Front2,9,1737987661705,1737987662358,16,22,-72.22
20,B,Front3,9,1737987661849,1737987662656,15,23,-72.57
20,B,Front1,9,1737987661996,1737987662317,9,13,-69.50
20,B,Side2,9,1737987662992,1737987663072,3,11,-68.67
20,B,Side1,9,1737987662995,1737987663022,2,12,-70.00
20,B,Side3,9,1737987662997,1737987663142,5,13,-69.70
20,B,Back1,9,1737987663373,1737987664127,20,21,-67.95
20,B,Back2,9,1737987663445,1737987663967,14,10,-69.93
20,B,Back3,9,1737987663827,1737987663878,2,4,-76.50
30,B,Front3,9,1737987718309,1737987719184,15,24,-69.80
30,B,Front2,9,1737987718437,1737987719020,10,23,-69.27
30,B,Front1,9,1737987718461,1737987718872,8,14,-69.70
30,B,Side2,9,1737987719491,1737987719582,3,12,-64.33
30,B,Side1,9,1737987719508,1737987719541,2,13,-68.25
30,B,Side3,9,1737987719521,1737987719615,4,14,-68.08
30,B,Back1,9,1737987719732,1737987720595,23,22,-68.09
30,B,Back2,9,1737987719804,1737987720434,17,11,-66.62
30,B,Back3,9,1737987719902,1737987720363,13,5,-70.42
30,B,Front3,9,1737987762093,1737987762853,12,25,-70.22
30,B,Front2,9,1737987762226,1737987762645,7,24,-70.77
30,B,Front1,9,1737987762352,1737987762647,6,15,-69.14
30,B,Side1,9,1737987763134,1737987763234,4,14,-68.90
30,B,Side2,9,1737987763206,1737987763305,4,13,-66.12
30,B,Side3,9,1737987763208,1737987763361,5,15,-68.42
30,B,Back1,9,1737987763464,1737987764157,19,23,-68.53
30,B,Back2,9,1737987763533,1737987764029,14,12,-67.54
30,B,Back3,9,1737987763685,1737987764043,10,6,-72.00
30,B,Front3,9,1737987809185,1737987809963,14,26,-69.66
30,B,Front1,9,1737987809315,1737987809731,7,16,-68.79
30,B,Front2,9,1737987809319,1737987809840,9,25,-70.23
30,B,Side1,9,1737987810170,1737987810348,6,15,-67.17
30,B,Side2,9,1737987810241,1737987810393,5,14,-64.60
30,B,Side3,9,1737987810243,1737987810423,6,16,-66.50
30,B,Back1,9,1737987810520,1737987811338,22,24,-67.38
30,B,Back2,9,1737987810593,1737987811237,18,13,-66.81
30,B,Back3,9,1737987810668,1737987811173,14,7,-70.50
50,B,Front1,9,1737987857997,1737987858460,9,17,-70.45
50,B,Front2,9,1737987858195,1737987858487,6,26,-69.67
50,B,Front3,9,1737987858196,1737987858614,8,27,-68.44
50,B,Side2,9,1737987858774,1737987858884,4,15,-64.12
50,B,Side1,9,1737987858776,1737987858856,3,16,-66.33
50,B,Side3,9,1737987858779,1737987858883,4,17,-65.62
50,B,Back1,9,1737987858961,1737987859503,15,25,-67.84
50,B,Back2,9,1737987859034,1737987859366,10,14,-65.50
50,B,Back3,9,1737987859108,1737987859368,8,8,-69.88
50,B,Front2,9,1737987916308,1737987916604,5,27,-70.40
50,B,Front1,9,1737987916434,1737987916462,2,18,-67.50
50,B,Front3,9,1737987916438,1737987916675,5,28,-71.85
50,B,Side1,9,1737987916836,1737987916919,3,17,-69.17
50,B,Side2,9,1737987916848,1737987916920,3,16,-67.17
50,B,Side3,9,1737987916922,1737987916946,2,18,-69.00
50,B,Back1,9,1737987917061,1737987917502,11,26,-69.27
50,B,Back2,9,1737987917186,1737987917450,8,15,-67.94
50,B,Back3,9,1737987917188,1737987917461,6,9,-72.92
50,B,Front3,9,1737987964330,1737987964770,8,29,-70.71
50,B,Front1,9,1737987964468,1737987964628,4,19,-68.62
50,B,Front2,9,1737987964470,1737987964741,5,28,-70.33
50,B,Side1,9,1737987964944,1737987965017,3,18,-67.50
50,B,Side2,9,1737987965011,1737987965044,2,17,-64.50
50,B,Side3,9,1737987965016,1737987965041,2,19,-65.00
50,B,Back1,9,1737987965189,1737987965614,12,27,-68.05
50,B,Back2,9,1737987965236,1737987965566,10,16,-66.70
50,B,Back3,9,1737987965309,1737987965493,6,10,-70.50
20,A,Front1,9,1737988040060,1737988041022,11,20,-62.94
20,A,Front2,9,1737988040186,1737988040981,16,29,-64.75
20,A,Front3,9,1737988040187,1737988041127,20,30,-60.15
20,A,Side1,9,1737988041202,1737988041530,10,19,-57.05
20,A,Side3,9,1737988041274,1737988041609,10,20,-58.43
20,A,Side2,9,1737988041278,1737988041613,10,18,-54.93
20,A,Back1,9,1737988041589,1737988042151,14,28,-64.15
20,A,Back2,9,1737988041683,1737988042123,10,17,-64.53
20,A,Back3,9,1737988041897,1737988042078,6,11,-67.72
20,A,Front3,9,1737988084675,1737988085595,20,31,-60.01
20,A,Front2,9,1737988084808,1737988085494,17,30,-64.02
20,A,Front1,9,1737988084937,1737988085523,14,21,-63.84
20,A,Side1,9,1737988085692,1737988086019,10,20,-57.88
20,A,Side2,9,1737988085765,1737988086068,9,19,-55.58
20,A,Side3,9,1737988085766,1737988086099,10,21,-58.02
20,A,Back1,9,1737988086066,1737988086609,14,29,-64.78
20,A,Back2,9,1737988086281,1737988086584,9,18,-64.15
20,A,Back3,9,1737988086352,1737988086506,5,12,-67.63
20,A,Front2,9,1737988127491,1737988128245,15,31,-65.40
20,A,Front3,9,1737988127621,1737988128350,16,32,-60.43
20,A,Front1,9,1737988127760,1737988128278,10,22,-64.40
20,A,Side1,9,1737988128445,1737988128747,9,21,-58.75
20,A,Side2,9,1737988128515,1737988128772,8,20,-55.74
20,A,Side3,9,1737988128517,1737988128821,9,22,-57.97
20,A,Back1,9,1737988128834,1737988129332,14,30,-65.32
20,A,Back2,9,1737988129002,1737988129260,8,19,-64.81
20,A,Back3,9,1737988129072,1737988129224,5,13,-68.35
30,A,Front2,9,1737988164941,1737988165555,15,32,-64.41
30,A,Front3,9,1737988165101,1737988165587,14,33,-60.06
30,A,Front1,9,1737988165105,1737988165486,11,23,-64.00
30,A,Side1,9,1737988165740,1737988165970,7,22,-59.53
30,A,Side2,9,1737988165741,1737988166002,8,21,-57.94
30,A,Side3,9,1737988165743,1737988166000,8,23,-59.62
30,A,Back1,9,1737988166064,1737988166396,10,31,-64.47
30,A,Back2,9,1737988166207,1737988166395,6,20,-65.44
30,A,Back3,9,1737988166283,1737988166378,3,14,-69.64
30,A,Front3,9,1737988205049,1737988205710,17,34,-60.43
30,A,Front2,9,1737988205053,1737988205590,14,33,-63.41
30,A,Front1,9,1737988205184,1737988205558,11,24,-63.59
30,A,Side1,9,1737988205782,1737988205933,5,23,-58.75
30,A,Side2,9,1737988205855,1737988206065,4,22,-56.19
30,A,Side3,9,1737988205857,1737988206107,5,24,-59.19
30,A,Back1,9,1737988206109,1737988206495,11,32,-65.00
30,A,Back2,9,1737988206133,1737988206516,9,21,-65.75
30,A,Back3,9,1737988206346,1737988206415,3,15,-67.18
30,A,Front3,9,1737988244315,1737988244925,15,35,-60.50
30,A,Front2,9,1737988244317,1737988244851,13,34,-64.14
30,A,Front1,9,1737988244480,1737988244779,9,25,-64.00
30,A,Side1,9,1737988244995,1737988245240,8,24,-59.31
30,A,Side3,9,1737988245064,1737988245286,7,25,-57.82
30,A,Side2,9,1737988245069,1737988245288,7,23,-56.90
30,A,Back1,9,1737988245301,1737988245677,7,33,-64.71
30,A,Back2,9,1737988245529,1737988245633,4,22,-65.21
30,A,Back3,9,1737988245531,1737988245600,3,16,-67.50
50,A,Front2,9,1737988294007,1737988294307,9,35,-63.88
50,A,Front3,9,1737988294010,1737988294380,11,36,-60.41
50,A,Front1,9,1737988294084,1737988294262,6,26,-63.29
50,A,Side1,9,1737988294450,1737988294610,5,25,-58.61
50,A,Side2,9,1737988294452,1737988294616,5,24,-56.45
50,A,Side3,9,1737988294474,1737988294645,6,26,-59.00
50,A,Back1,9,1737988294706,1737988294879,6,34,-63.25
50,A,Back2,9,1737988294773,1737988294882,4,23,-65.20
50,A,Back3,9,1737988294778,1737988294851,3,17,-68.36
50,A,Front2,9,1737988337276,1737988337589,8,36,-63.92
50,A,Front3,9,1737988337279,1737988337662,10,37,-61.38
50,A,Front1,9,1737988337404,1737988337556,5,27,-63.58
50,A,Side1,9,1737988337706,1737988337852,5,26,-58.72
50,A,Side3,9,1737988337774,1737988337880,4,27,-59.10
50,A,Side2,9,1737988337777,1737988337883,4,25,-56.33
50,A,Back1,9,1737988337961,1737988338155,6,35,-64.54
50,A,Back2,9,1737988338032,1737988338117,3,24,-64.94
50,A,Back3,9,1737988338036,1737988338079,2,18,-68.75
40,A,Front2,9,1737988456615,1737988456943,9,37,-65.40
40,A,Front3,9,1737988456616,1737988457037,12,38,-63.12
40,A,Front1,9,1737988456619,1737988456894,8,28,-65.37
40,A,Side1,9,1737988457100,1737988457304,6,27,-61.58
40,A,Side3,9,1737988457170,1737988457338,5,28,-61.46
40,A,Side2,9,1737988457173,1737988457279,4,26,-58.91
40,A,Back2,9,1737988457495,1737988457646,5,25,-68.14
40,A,Back1,9,1737988457496,1737988457674,6,36,-65.43
40,A,Front3,9,1737988498999,1737988499491,12,39,-60.60
40,A,Front1,9,1737988499154,1737988499477,9,29,-63.03
40,A,Front2,9,1737988499159,1737988499409,8,38,-62.08
40,A,Side2,9,1737988499569,1737988499752,6,27,-57.23
40,A,Side1,9,1737988499571,1737988499754,6,28,-58.96
40,A,Side3,9,1737988499646,1737988499750,4,29,-56.44
40,A,Back1,9,1737988499798,1737988500059,8,37,-65.41
40,A,Back3,9,1737988499952,1737988500027,3,19,-69.19
40,A,Back2,9,1737988499956,1737988500062,4,26,-65.85
